,_unit_id,civilians,militants_terrorists_insurgents,security_forces,districtmatch,eventid,report_date,state_full,svmlabel1,svmlabel1prob,verb
0,711601341,0.0,3.0,1.0,srinagar,3,03-07-2000,Jammu and Kashmir,security,0.997058873,killed
1,711601342,0.0,7.0,0.0,baramulla,4,03-07-2000,Jammu and Kashmir,terrorist,0.9792185259999999,killed
2,711601343,0.0,1.0,0.0,calcutta,13,03-07-2000,,terrorist,0.9485643570000001,arrested
3,711601344,,7.0,,kamrup,15,03-07-2000,Assam,terrorist,0.999998864,surrendered
4,711601345,0.0,2.0,0.0,karimnagar,41,03-08-2000,,terrorist,0.858029833,killed
5,711601346,0.0,1.0,0.0,tinsukia,46,03-08-2000,Assam,civilian,0.522630196,killed
6,711601347,0.0,0.0,1.0,churachandpur,52,03-09-2000,Manipur,civilian,0.844206868,injured
7,711601348,1.0,0.0,0.0,srinagar,56,03-09-2000,,civilian,0.730450312,arrested
8,711601349,0.0,3.0,0.0,jorhat,123,03-12-2000,,terrorist,0.9999970890000001,arrested
9,711601350,3.0,0.0,0.0,sibsagar,124,03-12-2000,,civilian,0.774558953,arrested
10,711601351,1.0,0.0,8.0,garwah,135,3/13/00,Bihar,security,0.997681265,killing
11,711601352,1.0,0.0,0.0,gadchiroli,150,3/14/00,Maharashtra,civilian,0.658324947,killed
12,711601353,0.0,3.0,0.0,srinagar,155,3/15/00,Jammu and Kashmir,terrorist,0.98993457,killed
13,711601354,,2.0,,ganderbal,156,3/15/00,Jammu and Kashmir,terrorist,0.93176911,killed
14,711601355,0.0,1.0,1.0,poonch,159,3/15/00,Jammu and Kashmir,terrorist,0.956362623,killed
15,711601356,0.0,4.0,0.0,north tripura,175,3/15/00,Tripura,civilian,0.895373713,killed
16,711601357,4.0,0.0,0.0,north tripura,175,3/15/00,Tripura,civilian,0.886512138,injured
17,711601358,0.0,2.0,0.0,gurdaspur,180,3/16/00,,terrorist,0.933771165,arrested
18,711601359,0.0,6.0,2.0,budgam,195,3/17/00,Jammu and Kashmir,security,0.9219343759999999,killed
19,711601360,0.0,0.0,1.0,dhubri,196,3/17/00,,civilian,0.505970179,killed
20,711601361,2.0,0.0,0.0,dhubri,196,3/17/00,,civilian,0.7795220359999999,injured
21,711601362,,,1.0,jammu,225,3/18/00,,security,0.998136568,wounded
22,711601363,0.0,1.0,0.0,jammu,225,3/18/00,,terrorist,0.9792185259999999,arrested
23,711601364,0.0,2.0,2.0,poonch,226,3/18/00,,security,0.9967473570000001,killed
24,711601366,0.0,0.0,1.0,srinagar,227,3/18/00,,civilian,0.43842290799999994,injured
25,711601367,0.0,1.0,0.0,badgam,228,3/18/00,,terrorist,0.978983823,killed
26,711601368,0.0,3.0,0.0,west godavari,237,3/18/00,,civilian,0.707255539,killed
27,711601369,,3.0,,guntur,275,3/21/00,,terrorist,0.9834121459999999,killed
28,711601370,0.0,1.0,0.0,jammu,293,3/21/00,,security,0.471516273,arrested
29,711601371,0.0,0.0,1.0,srinagar,301,3/22/00,Jammu and Kashmir,civilian,0.707058717,injured
30,711601372,,10.0,,nalbari,333,3/23/00,,terrorist,0.99999641,killed
31,711601373,0.0,1.0,0.0,kamrup,334,3/23/00,,terrorist,0.985194593,killed
32,711601374,0.0,2.0,0.0,kamrup,336,3/23/00,,terrorist,0.979373299,killed
33,711601375,0.0,1.0,0.0,kamrup,337,3/23/00,,terrorist,0.9957973370000001,killed
34,711601376,0.0,2.0,0.0,nalgonda,344,3/23/00,Andhra Pradesh,terrorist,0.9791731459999999,killed
35,711601377,0.0,0.0,0.0,kamrup,354,3/24/00,,civilian,0.707255539,killed
36,711601378,0.0,8.0,0.0,rajouri,359,3/24/00,Jammu and Kashmir,terrorist,0.991811274,killed
37,711601380,0.0,1.0,0.0,nagaon,390,3/25/00,Assam,civilian,0.940933317,arrested
38,711601381,1.0,0.0,0.0,anantnag,400,3/25/00,Jammu and Kashmir,civilian,0.9284545409999999,arrested
39,711601382,0.0,3.0,0.0,baramulla,433,3/26/00,Jammu and Kashmir,terrorist,0.998843777,killed
40,711601383,0.0,5.0,0.0,anantnag,434,3/26/00,Jammu and Kashmir,civilian,0.521861618,killed
41,711601384,,1.0,,nalbari,438,3/26/00,Assam,terrorist,0.9792185259999999,killed
42,711601385,5.0,,,bishnupur,442,3/26/00,Manipur,civilian,0.895373713,killed
43,711601386,2.0,9.0,1.0,jammu,466,3/28/00,,civilian,0.58362514,killed
44,711601387,5.0,0.0,0.0,jammu,466,3/28/00,,civilian,0.7795220359999999,injured
45,711601388,0.0,2.0,0.0,kupwara,469,3/28/00,,civilian,0.620034292,killed
